Samples	SampleID	FieldID	samples	Location	LocationAb	LocationIDMERGE	LocationID	time	subject	Date_Taken	Sample_Type	Soil_Test_Number	PlantA_Or_B	Notes	GA_Microbiome	Living_Mulch	Endophyte	R1_Fastq_Name	R2_Fastq_Name	reads	Growing_Degree_Days	GPSlatitude	GPSlongitude	Living_Mulch_Treatment	Lime_Buffer_Capacity	pH	Water_pH	Base_Saturation_perc	Cation_Exchange_Capacity	Ca_ppm	Cd_ppm	Cr_ppm	Cu_ppm	Fe_ppm	K_ppm	Mg_ppm	Mn_ppm	Mo_ppm	Na_ppm	Ni_ppm	P_ppm	Pb_ppm	Zn_ppm	Organic_Matter_perc	N_perc	Plate	Row	Column	Well	quant_reading	Sample_or_Control	precipIntensity	precipProbability	temperatureHigh	temperatureLow	dewPoint	humidity	windSpeed	uvIndex
Sample110	GA18-28Zb-1400-S44	GA18-28Z	110	Watkinsville_IronHorse	WATI	GA18-28Z_WATI	GA18-28Z_WATI-p2	p2	S8	43272	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-28Zb-1400_S44_L001_R1_001.fastq.gz	GA18-28Zb-1400_S44_L001_R2_001.fastq.gz	186868	1400	33.868064	-83.45012	NA	279	6.32	6.92	98.7	10.22	1716	0.025	0.025	0.83	4.65	73.4	153.4	33.85	0.025	9.91	0.2	22.78	0.03	6.01	3.83	0.12	4	D	8	D8	148.3333333	Sample	0.003667213	0.309016393	81.84344262	63.16409836	62.49885246	0.766557377	2.998196721	8.327868853
Sample111	GA18-28Zb-600-S65	GA18-28Z	111	Watkinsville_IronHorse	WATI	GA18-28Z_WATI	GA18-28Z_WATI-p2	p2	S8	43241	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-28Zb-600_S65_L001_R1_001.fastq.gz	GA18-28Zb-600_S65_L001_R2_001.fastq.gz	75202	600	33.868009	-83.450119	NA	390	5.97	6.57	82.7	5.62	760	0.025	0.025	0.65	6.66	103.8	66.5	46.1	0.025	7.61	1.63	9.98	0.28	3.24	2.35	0.07	4	F	5	F5	272	Sample	0.003667213	0.309016393	81.84344262	63.16409836	62.49885246	0.766557377	2.998196721	8.327868853
Sample112	GA18-29Ra-1400-S232	GA18-29R	112	Watkinsville_IronHorse	WATI	GA18-29R_WATI	GA18-29R_WATI-p1	p1	S8	43272	Root	NA	a		TRUE	FALSE	FALSE	GA18-29Ra-1400_S232_L001_R1_001.fastq.gz	GA18-29Ra-1400_S232_L001_R2_001.fastq.gz	16423	1400	33.86801	-83.450039	NA	329	4.9	5.5	61.4	7.41	778	0.025	0.025	0.97	8.01	66.8	52.5	31.68	0.025	10.73	2.24	23.77	0.35	3.9	3.03	0.11	6	D	5	D5	92.56666667	Sample	0.003667213	0.309016393	81.84344262	63.16409836	62.49885246	0.766557377	2.998196721	8.327868853
Sample113	GA18-29Ra-600-S197	GA18-29R	113	Watkinsville_IronHorse	WATI	GA18-29R_WATI	GA18-29R_WATI-p1	p1	S8	43241	Root	NA	a		TRUE	FALSE	FALSE	GA18-29Ra-600_S197_L001_R1_001.fastq.gz	GA18-29Ra-600_S197_L001_R2_001.fastq.gz	38327	600	33.86799	-83.450037	NA	364	6.01	6.61	87.2	6.42	925	0.02	0.02	0.56	5.58	89.8	83.8	46.9	0.02	9.47	0.56	7.66	0.08	3.63	2.49	0.07	6	A	6	A6	42.06666667	Sample	0.003667213	0.309016393	81.84344262	63.16409836	62.49885246	0.766557377	2.998196721	8.327868853
Sample114	GA18-29Rb-1400-S257	GA18-29R	114	Watkinsville_IronHorse	WATI	GA18-29R_WATI	GA18-29R_WATI-p2	p2	S8	43272	Root	NA	b		TRUE	FALSE	FALSE	GA18-29Rb-1400_S257_L001_R1_001.fastq.gz	GA18-29Rb-1400_S257_L001_R2_001.fastq.gz	15901	1400	33.86801	-83.450039	NA	329	4.9	5.5	61.4	7.41	778	0.025	0.025	0.97	8.01	66.8	52.5	31.68	0.025	10.73	2.24	23.77	0.35	3.9	3.03	0.11	6	G	6	G6	101.1	Sample	0.003667213	0.309016393	81.84344262	63.16409836	62.49885246	0.766557377	2.998196721	8.327868853
Sample115	GA18-29Rb-600-S251	GA18-29R	115	Watkinsville_IronHorse	WATI	GA18-29R_WATI	GA18-29R_WATI-p2	p2	S8	43241	Root	NA	b		TRUE	FALSE	FALSE	GA18-29Rb-600_S251_L001_R1_001.fastq.gz	GA18-29Rb-600_S251_L001_R2_001.fastq.gz	18273	600	33.86799	-83.450037	NA	364	6.01	6.61	87.2	6.42	925	0.02	0.02	0.56	5.58	89.8	83.8	46.9	0.02	9.47	0.56	7.66	0.08	3.63	2.49	0.07	6	E	12	E12	70.4	Sample	0.003667213	0.309016393	81.84344262	63.16409836	62.49885246	0.766557377	2.998196721	8.327868853
Sample116	GA18-29S-1400-S173	GA18-29S	116	Watkinsville	WAT	GA18-29S_WAT		p2	S8	43272	Soil	105		Living_mulch_experiment_and_GA_Microbiome	TRUE	TRUE	FALSE	GA18-29S-1400_S173_L001_R1_001.fastq.gz	GA18-29S-1400_S173_L001_R2_001.fastq.gz	38072	1400	33.86801	-83.450039	CrimsonClover	329	4.9	5.5	61.4	7.41	778	0.025	0.025	0.97	8.01	66.8	52.5	31.68	0.025	10.73	2.24	23.77	0.35	3.9	3.03	0.11	5	G	6	G6	180	Sample	0.003720588	0.33	82.77	63.91176471	63.34191176	0.767205882	3.100882353	8.455882353
Sample117	GA18-29S-LM1400-S163	GA18-29S	117	Watkinsville	WAT	GA18-29S_WAT		p2	S8	43279	Soil	NA			TRUE	TRUE	FALSE	GA18-29S-LM1400_S163_L001_R1_001.fastq.gz	GA18-29S-LM1400_S163_L001_R2_001.fastq.gz	33081	1400	33.86799	-83.450037	CrimsonClover	364	6.01	6.61	87.2	6.42	925	0.02	0.02	0.56	5.58	89.8	83.8	46.9	0.02	9.47	0.56	7.66	0.08	3.63	2.49	0.07	5	F	8	F8	235.3333333	Sample	0.003720588	0.33	82.77	63.91176471	63.34191176	0.767205882	3.100882353	8.455882353
Sample118	GA18-29Za-1400-S91	GA18-29Z	118	Watkinsville_IronHorse	WATI	GA18-29Z_WATI	GA18-29Z_WATI-p1	p1	S8	43272	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-29Za-1400_S91_L001_R1_001.fastq.gz	GA18-29Za-1400_S91_L001_R2_001.fastq.gz	71420	1400	33.86801	-83.450039	NA	329	4.9	5.5	61.4	7.41	778	0.025	0.025	0.97	8.01	66.8	52.5	31.68	0.025	10.73	2.24	23.77	0.35	3.9	3.03	0.11	4	H	7	H7	304	Sample	0.003667213	0.309016393	81.84344262	63.16409836	62.49885246	0.766557377	2.998196721	8.327868853
Sample119	GA18-29Za-600-S56	GA18-29Z	119	Watkinsville_IronHorse	WATI	GA18-29Z_WATI	GA18-29Z_WATI-p1	p1	S8	43241	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-29Za-600_S56_L001_R1_001.fastq.gz	GA18-29Za-600_S56_L001_R2_001.fastq.gz	48145	600	33.86799	-83.450037	NA	364	6.01	6.61	87.2	6.42	925	0.02	0.02	0.56	5.58	89.8	83.8	46.9	0.02	9.47	0.56	7.66	0.08	3.63	2.49	0.07	4	E	8	E8	582.3333333	Sample	0.003667213	0.309016393	81.84344262	63.16409836	62.49885246	0.766557377	2.998196721	8.327868853
Sample120	GA18-29Zb-1400-S21	GA18-29Z	120	Watkinsville_IronHorse	WATI	GA18-29Z_WATI	GA18-29Z_WATI-p2	p2	S8	43272	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-29Zb-1400_S21_L001_R1_001.fastq.gz	GA18-29Zb-1400_S21_L001_R2_001.fastq.gz	59471	1400	33.86801	-83.450039	NA	329	4.9	5.5	61.4	7.41	778	0.025	0.025	0.97	8.01	66.8	52.5	31.68	0.025	10.73	2.24	23.77	0.35	3.9	3.03	0.11	4	B	9	B9	436.6666667	Sample	0.003667213	0.309016393	81.84344262	63.16409836	62.49885246	0.766557377	2.998196721	8.327868853
Sample121	GA18-29Zb-600-S122	GA18-29Z	121	Watkinsville_IronHorse	WATI	GA18-29Z_WATI	GA18-29Z_WATI-p2	p2	S8	43241	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-29Zb-600_S122_L001_R1_001.fastq.gz	GA18-29Zb-600_S122_L001_R2_001.fastq.gz	21386	600	33.86799	-83.450037	NA	364	6.01	6.61	87.2	6.42	925	0.02	0.02	0.56	5.58	89.8	83.8	46.9	0.02	9.47	0.56	7.66	0.08	3.63	2.49	0.07	5	C	3	C3	102.7333333	Sample	0.003667213	0.309016393	81.84344262	63.16409836	62.49885246	0.766557377	2.998196721	8.327868853
Sample122	GA18-2Ra-1400-S37	GA18-2Ra	122	Hawkinsville	HAW	GA18-2Ra_HAW	GA18-2Ra_HAW-p1	p1	S9	43251	Root	NA	a		TRUE	FALSE	FALSE	GA18-2Ra-1400_S37_L001_R1_001.fastq.gz	GA18-2Ra-1400_S37_L001_R2_001.fastq.gz	83530	1400	32.183557	-83.578569	NA	217	6.77	7.37	100	8.19	1095	0.02	0.1	1.84	23.57	96.8	290.9	17.57	0.02	10.19	1.45	152.4	0.42	10.68	1.39	0.03	4	D	1	D1	333	Sample	0.003737288	0.28440678	79.50050847	59.96135593	56.17372881	0.68220339	5.40559322	7.847457627
Sample123	GA18-2Ra-600-S26	GA18-2Ra	123	Hawkinsville	HAW	GA18-2Ra_HAW	GA18-2Ra_HAW-p1	p1	S9	43222	Root	NA	a		TRUE	FALSE	FALSE	GA18-2Ra-600_S26_L001_R1_001.fastq.gz	GA18-2Ra-600_S26_L001_R2_001.fastq.gz	44778	600	32.18359	-83.578563	NA	319	6.77	7.37	100	6.89	1040	0.05	0.14	1.88	29.93	145.2	232	18.6	0.02	14.68	0.73	154.87	0.66	9.98	1.33	0.05	4	C	2	C2	628.3333333	Sample	0.003737288	0.28440678	79.50050847	59.96135593	56.17372881	0.68220339	5.40559322	7.847457627
Sample124	GA18-2Rb-1400-S261	GA18-2Rb	124	Hawkinsville	HAW	GA18-2Rb_HAW	GA18-2Rb_HAW-p2	p2	S9	43251	Root	NA	b		TRUE	FALSE	FALSE	GA18-2Rb-1400_S261_L001_R1_001.fastq.gz	GA18-2Rb-1400_S261_L001_R2_001.fastq.gz	14605	1400	32.183557	-83.578569	NA	217	6.77	7.37	100	8.19	1095	0.02	0.1	1.84	23.57	96.8	290.9	17.57	0.02	10.19	1.45	152.4	0.42	10.68	1.39	0.03	6	G	10	G10	200.6666667	Sample	0.003737288	0.28440678	79.50050847	59.96135593	56.17372881	0.68220339	5.40559322	7.847457627
Sample125	GA18-2Rb-600-S27	GA18-2Rb	125	Hawkinsville	HAW	GA18-2Rb_HAW	GA18-2Rb_HAW-p2	p2	S9	43222	Root	NA	b		TRUE	FALSE	FALSE	GA18-2Rb-600_S27_L001_R1_001.fastq.gz	GA18-2Rb-600_S27_L001_R2_001.fastq.gz	61958	600	32.18359	-83.578563	NA	319	6.77	7.37	100	6.89	1040	0.05	0.14	1.88	29.93	145.2	232	18.6	0.02	14.68	0.73	154.87	0.66	9.98	1.33	0.05	4	C	3	C3	352.6666667	Sample	0.003737288	0.28440678	79.50050847	59.96135593	56.17372881	0.68220339	5.40559322	7.847457627
Sample126	GA18-2Za-1400-S159	GA18-2Za	126	Hawkinsville	HAW	GA18-2Za_HAW	GA18-2Za_HAW-p1	p1	S9	43251	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-2Za-1400_S159_L001_R1_001.fastq.gz	GA18-2Za-1400_S159_L001_R2_001.fastq.gz	40303	1400	32.183557	-83.578569	NA	217	6.77	7.37	100	8.19	1095	0.02	0.1	1.84	23.57	96.8	290.9	17.57	0.02	10.19	1.45	152.4	0.42	10.68	1.39	0.03	5	F	4	F4	102.9666667	Sample	0.003737288	0.28440678	79.50050847	59.96135593	56.17372881	0.68220339	5.40559322	7.847457627
Sample127	GA18-2Za-600-S147	GA18-2Za	127	Hawkinsville	HAW	GA18-2Za_HAW	GA18-2Za_HAW-p1	p1	S9	43222	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-2Za-600_S147_L001_R1_001.fastq.gz	GA18-2Za-600_S147_L001_R2_001.fastq.gz	37560	600	32.18359	-83.578563	NA	319	6.77	7.37	100	6.89	1040	0.05	0.14	1.88	29.93	145.2	232	18.6	0.02	14.68	0.73	154.87	0.66	9.98	1.33	0.05	5	E	4	E4	105.9	Sample	0.003737288	0.28440678	79.50050847	59.96135593	56.17372881	0.68220339	5.40559322	7.847457627
Sample128	GA18-2Zb-1400-S97	GA18-2Zb	128	Hawkinsville	HAW	GA18-2Zb_HAW	GA18-2Zb_HAW-p2	p2	S9	43251	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-2Zb-1400_S97_L001_R1_001.fastq.gz	GA18-2Zb-1400_S97_L001_R2_001.fastq.gz	39910	1400	32.183557	-83.578569	NA	217	6.77	7.37	100	8.19	1095	0.02	0.1	1.84	23.57	96.8	290.9	17.57	0.02	10.19	1.45	152.4	0.42	10.68	1.39	0.03	5	A	1	A1	100.2	Sample	0.003737288	0.28440678	79.50050847	59.96135593	56.17372881	0.68220339	5.40559322	7.847457627
Sample129	GA18-2Zb-600-S102	GA18-2Zb	129	Hawkinsville	HAW	GA18-2Zb_HAW	GA18-2Zb_HAW-p2	p2	S9	43222	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-2Zb-600_S102_L001_R1_001.fastq.gz	GA18-2Zb-600_S102_L001_R2_001.fastq.gz	43068	600	32.18359	-83.578563	NA	319	6.77	7.37	100	6.89	1040	0.05	0.14	1.88	29.93	145.2	232	18.6	0.02	14.68	0.73	154.87	0.66	9.98	1.33	0.05	5	A	6	A6	68.6	Sample	0.003737288	0.28440678	79.50050847	59.96135593	56.17372881	0.68220339	5.40559322	7.847457627
Sample130	GA18-30Ra-1400-S245	GA18-30R	130	Athens	ATH	GA18-30R_ATH	GA18-30R_ATH-p1	p1	S9	43270	Root	NA	a		TRUE	FALSE	FALSE	GA18-30Ra-1400_S245_L001_R1_001.fastq.gz	GA18-30Ra-1400_S245_L001_R2_001.fastq.gz	32885	1400	33.721795	-83.307881	NA	232	5.65	6.25	80.1	5	614	0.02	0.02	0.4	68.87	65.8	86.6	24.25	0.02	9.34	2.58	17.03	0.08	0.87	1.55	0.05	6	E	6	E6	101.2	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample131	GA18-30Ra-600-S25	GA18-30R	131	Athens	ATH	GA18-30R_ATH	GA18-30R_ATH-p1	p1	S10	43238	Root	NA	a		TRUE	FALSE	FALSE	GA18-30Ra-600_S25_L001_R1_001.fastq.gz	GA18-30Ra-600_S25_L001_R2_001.fastq.gz	104614	600	33.721731	-83.307809	NA	865	6.11	6.71	80.2	7.36	924	0.025	0.025	0.55	63.29	105.9	116.4	52	0.025	10.72	4.09	30.04	0.14	1.15	2.22	0.06	4	C	1	C1	251.3333333	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample132	GA18-30Rb-600-S228	GA18-30R	132	Athens	ATH	GA18-30R_ATH	GA18-30R_ATH-p2	p2	S10	43238	Root	NA	b		TRUE	FALSE	FALSE	GA18-30Rb-600_S228_L001_R1_001.fastq.gz	GA18-30Rb-600_S228_L001_R2_001.fastq.gz	23897	600	33.721731	-83.307809	NA	865	6.11	6.71	80.2	7.36	924	0.025	0.025	0.55	63.29	105.9	116.4	52	0.025	10.72	4.09	30.04	0.14	1.15	2.22	0.06	6	D	1	D1	118.7333333	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample133	GA18-30S-1400-S190	GA18-30S	133	Athens	ATH	GA18-30S_ATH		p1	S10	43270	Soil	88			TRUE	FALSE	FALSE	GA18-30S-1400_S190_L001_R1_001.fastq.gz	GA18-30S-1400_S190_L001_R2_001.fastq.gz	28276	1400	33.721795	-83.307881	NA	232	5.65	6.25	80.1	5	614	0.02	0.02	0.4	68.87	65.8	86.6	24.25	0.02	9.34	2.58	17.03	0.08	0.87	1.55	0.05	5	H	11	H11	226.6666667	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample134	GA18-30S-600-S187	GA18-30S	134	Athens	ATH	GA18-30S_ATH		p1	S10	43238	Soil	30			TRUE	FALSE	FALSE	GA18-30S-600_S187_L001_R1_001.fastq.gz	GA18-30S-600_S187_L001_R2_001.fastq.gz	36989	600	33.721731	-83.307809	NA	865	6.11	6.71	80.2	7.36	924	0.025	0.025	0.55	63.29	105.9	116.4	52	0.025	10.72	4.09	30.04	0.14	1.15	2.22	0.06	5	H	8	H8	125.3333333	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample135	GA18-30Za-1400-S79	GA18-30Z	135	Athens	ATH	GA18-30Z_ATH	GA18-30Z_ATH-p1	p1	S10	43270	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-30Za-1400_S79_L001_R1_001.fastq.gz	GA18-30Za-1400_S79_L001_R2_001.fastq.gz	71389	1400	33.721795	-83.307881	NA	232	5.65	6.25	80.1	5	614	0.02	0.02	0.4	68.87	65.8	86.6	24.25	0.02	9.34	2.58	17.03	0.08	0.87	1.55	0.05	4	G	7	G7	392.6666667	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample136	GA18-30Za-600-S136	GA18-30Z	136	Athens	ATH	GA18-30Z_ATH	GA18-30Z_ATH-p1	p1	S10	43238	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-30Za-600_S136_L001_R1_001.fastq.gz	GA18-30Za-600_S136_L001_R2_001.fastq.gz	22459	600	33.721731	-83.307809	NA	865	6.11	6.71	80.2	7.36	924	0.025	0.025	0.55	63.29	105.9	116.4	52	0.025	10.72	4.09	30.04	0.14	1.15	2.22	0.06	5	D	5	D5	142.3333333	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample137	GA18-30Zb-1400-S20	GA18-30Z	137	Athens	ATH	GA18-30Z_ATH	GA18-30Z_ATH-p2	p2	S10	43270	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-30Zb-1400_S20_L001_R1_001.fastq.gz	GA18-30Zb-1400_S20_L001_R2_001.fastq.gz	66190	1400	33.721795	-83.307881	NA	232	5.65	6.25	80.1	5	614	0.02	0.02	0.4	68.87	65.8	86.6	24.25	0.02	9.34	2.58	17.03	0.08	0.87	1.55	0.05	4	B	8	B8	596.6666667	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample138	GA18-30Zb-600-S87	GA18-30Z	138	Athens	ATH	GA18-30Z_ATH	GA18-30Z_ATH-p2	p2	S10	43238	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-30Zb-600_S87_L001_R1_001.fastq.gz	GA18-30Zb-600_S87_L001_R2_001.fastq.gz	82856	600	33.721731	-83.307809	NA	865	6.11	6.71	80.2	7.36	924	0.025	0.025	0.55	63.29	105.9	116.4	52	0.025	10.72	4.09	30.04	0.14	1.15	2.22	0.06	4	H	3	H3	319	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample139	GA18-31Ra-1000-S265	GA18-31R	139	Athens	ATH	GA18-31R_ATH			S10	43270	Root	NA	a		TRUE	FALSE	FALSE	GA18-31Ra-1000_S265_L001_R1_001.fastq.gz	GA18-31Ra-1000_S265_L001_R2_001.fastq.gz	27422	1000	33.716698	-83.308689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	H	2	H2	49.8	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample140	GA18-31Ra-1400-S229	GA18-31R	140	Athens	ATH	GA18-31R_ATH	GA18-31R_ATH-p2	p2	S10	43283	Root	NA	a		TRUE	FALSE	FALSE	GA18-31Ra-1400_S229_L001_R1_001.fastq.gz	GA18-31Ra-1400_S229_L001_R2_001.fastq.gz	18467	1400	33.716701	-83.308707	NA	233	5.95	6.55	91.4	6.99	1062	0.025	0.025	0.66	5.55	101.8	94.2	25.57	0.025	8.55	2.11	24.32	0.12	6.87	2.74	0.04	6	D	2	D2	77.86666667	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample141	GA18-31Ra-600-S13	GA18-31R	141	Athens	ATH	GA18-31R_ATH	GA18-31R_ATH-p1	p1	S10	43252	Root	NA	a		TRUE	FALSE	FALSE	GA18-31Ra-600_S13_L001_R1_001.fastq.gz	GA18-31Ra-600_S13_L001_R2_001.fastq.gz	260821	600	33.716697	-83.308688	NA	385	5.68	6.28	78.5	7.48	802	0.03	0.03	0.3	9.29	64.9	197.5	6.74	0.03	10.08	0.46	4.6	0.74	0.39	3.16	0.09	4	B	1	B1	68.06666667	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample142	GA18-31Rb-1000-S264	GA18-31R	142	Athens	ATH	GA18-31R_ATH			S10	43270	Root	NA	b		TRUE	FALSE	FALSE	GA18-31Rb-1000_S264_L001_R1_001.fastq.gz	GA18-31Rb-1000_S264_L001_R2_001.fastq.gz	20843	1000	33.716698	-83.308689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	H	1	H1	162	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample143	GA18-31Rb-1400-S217	GA18-31R	143	Athens	ATH	GA18-31R_ATH	GA18-31R_ATH-p2	p2	S10	43283	Root	NA	b		TRUE	FALSE	FALSE	GA18-31Rb-1400_S217_L001_R1_001.fastq.gz	GA18-31Rb-1400_S217_L001_R2_001.fastq.gz	21743	1400	33.716701	-83.308707	NA	233	5.95	6.55	91.4	6.99	1062	0.025	0.025	0.66	5.55	101.8	94.2	25.57	0.025	8.55	2.11	24.32	0.12	6.87	2.74	0.04	6	C	2	C2	70.56666667	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample144	GA18-31repBS-600-S155	GA18-31r	144	Athens	ATH	GA18-31r_ATH		p1	S9	43252	Soil	66		A_second_rep_of_the_soil_at_this_location_was_taken	TRUE	FALSE	FALSE	GA18-31repBS-600_S155_L001_R1_001.fastq.gz	GA18-31repBS-600_S155_L001_R2_001.fastq.gz	61202	600	33.716697	-83.308688	NA	385	5.68	6.28	78.5	7.48	802	0.03	0.03	0.3	9.29	64.9	197.5	6.74	0.03	10.08	0.46	4.6	0.74	0.39	3.16	0.09	5	E	12	E12	78.2	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample145	GA18-31S-1000-S162	GA18-31S	145	Athens	ATH	GA18-31S_ATH		p2	S10	43270	Soil	89			TRUE	FALSE	FALSE	GA18-31S-1000_S162_L001_R1_001.fastq.gz	GA18-31S-1000_S162_L001_R2_001.fastq.gz	28986	1000	33.716698	-83.308689	NA	348	6.18	6.78	94.1	7.47	983	0.025	0.025	0.125	11.9	72.4	225.8	10.95	0.025	9.65	1.32	8.89	0.34	0.76	3.16	0.06	5	F	7	F7	73.66666667	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample146	GA18-31Za-1000-S19	GA18-31Z	146	Athens	ATH	GA18-31Z_ATH			S10	43270	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-31Za-1000_S19_L001_R1_001.fastq.gz	GA18-31Za-1000_S19_L001_R2_001.fastq.gz	74530	1000	33.716698	-83.308689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	B	7	B7	329.6666667	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample147	GA18-31Za-1400-S64	GA18-31Z	147	Athens	ATH	GA18-31Z_ATH	GA18-31Z_ATH-p1	p1	S10	43283	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-31Za-1400_S64_L001_R1_001.fastq.gz	GA18-31Za-1400_S64_L001_R2_001.fastq.gz	182264	1400	33.716701	-83.308707	NA	233	5.95	6.55	91.4	6.99	1062	0.025	0.025	0.66	5.55	101.8	94.2	25.57	0.025	8.55	2.11	24.32	0.12	6.87	2.74	0.04	4	F	4	F4	92.46666667	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample148	GA18-31Za-600-S100	GA18-31Z	148	Athens	ATH	GA18-31Z_ATH	GA18-31Z_ATH-p1	p1	S10	43252	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-31Za-600_S100_L001_R1_001.fastq.gz	GA18-31Za-600_S100_L001_R2_001.fastq.gz	74607	600	33.716697	-83.308688	NA	385	5.68	6.28	78.5	7.48	802	0.03	0.03	0.3	9.29	64.9	197.5	6.74	0.03	10.08	0.46	4.6	0.74	0.39	3.16	0.09	5	A	4	A4	28.53333333	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample149	GA18-31Zb-1000-S41	GA18-31Z	149	Athens	ATH	GA18-31Z_ATH			S10	43270	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-31Zb-1000_S41_L001_R1_001.fastq.gz	GA18-31Zb-1000_S41_L001_R2_001.fastq.gz	67070	1000	33.716698	-83.308689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	D	5	D5	260.6666667	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample150	GA18-31Zb-1400-S17	GA18-31Z	150	Athens	ATH	GA18-31Z_ATH	GA18-31Z_ATH-p2	p2	S10	43283	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-31Zb-1400_S17_L001_R1_001.fastq.gz	GA18-31Zb-1400_S17_L001_R2_001.fastq.gz	69490	1400	33.716701	-83.308707	NA	233	5.95	6.55	91.4	6.99	1062	0.025	0.025	0.66	5.55	101.8	94.2	25.57	0.025	8.55	2.11	24.32	0.12	6.87	2.74	0.04	4	B	5	B5	160.3333333	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
Sample151	GA18-31Zb-600-S80	GA18-31Z	151	Athens	ATH	GA18-31Z_ATH	GA18-31Z_ATH-p2	p2	S10	43252	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-31Zb-600_S80_L001_R1_001.fastq.gz	GA18-31Zb-600_S80_L001_R2_001.fastq.gz	103653	600	33.716697	-83.308688	NA	385	5.68	6.28	78.5	7.48	802	0.03	0.03	0.3	9.29	64.9	197.5	6.74	0.03	10.08	0.46	4.6	0.74	0.39	3.16	0.09	4	G	8	G8	202.6666667	Sample	0.003175807	0.308548387	82.42354839	63.16193548	61.83274194	0.749677419	2.797580645	8.64516129
